layer,Thickness,Lithology
Ely Limestone,0.245,Limestone
Chainman Shale,0.23,Shale
Joana Limestone,0.03,Limestone
Pilot Shale,0.185,Shale
Guilmette Formation,0.455,Dolostone
Simonson Dolomite,0.26,Dolostone
Sevy Dolomite,0.18,Dolostone
Laketown Dolomite,0.305,Dolostone
Fish Haven Dolomite,0.19,Dolostone
Eureka Quartzite,0.075,Sandstone
Pogonip Group,1.195,Limestone
Windfall Formation,0.335,Limestone
Dunderberg Shale,0.185,Shale
Raiff Limestone,0.61,Limestone
Monte Neva Formation,0.165,Limestone
Eldorado Limestone,0.61,Dolostone
Pioche Shale,0.09,Shale
Prospect Mountain Quartzite,1.3,Sandstone
Stella Lake Quartzite,0.2,Sandstone
Osceola,0.17,Shale
Shingle Creek,0.2,Sandstone
Strawberry Creek,0.3,Sandstone
Willard Creek,0.28,Sandstone
Egan,0.34,Sandstone
Lenny Lind,0.11,Sandstone
Cocomongo,0.14,Shale
Salvi,0.3,Sandstone
Heusser Mountain+Debrah Mb,0.8,Shale
Yelland,0.16,Limestone
Yelland Cap,0.01,Dolostone
TC7_Diamictite,0.1,Sandstone
TopTC7,0.4,Sandstone
Trout Creek 7,0.9,Sandstone
Trout Creek 6,1.2,Sandstone
Trout Creek 5,0.34,Diamictite
Trout Creek 4b,0.07,Sandstone
Trout Creek 4a,0.04,Sandstone
Trout Creek 3,0.31,Diamictite
Trout Creek 2,0.13,Limestone
Trout Creek 1,0.04,Shale
