,,,,,,,,,,,,,,dip_dir,,,,,corr_dir
11427bae3a42e0e34fc32798846c3dde, Locality 2, 3186d74dda551160694ffb5712562953,708763.3642,4366653.949,39.424154,-114.574702, 11S,2957.790527,5,3, Foreset ,184,44,274,11.654, Will-glom, Sat Oct 22 17:16:48 2022,,270.1
11427bae3a42e0e34fc32798846c3dde, Locality 2, acb72641c126e4a258c089593c9a5213,709042.3736,4366697.221,39.424476,-114.57145, 11S,2882.104004,5,4, Foreset ,163,30,253,11.654, Will-glom, Sat Oct 22 16:50:44 2022,,73.9
11427bae3a42e0e34fc32798846c3dde, Locality 2, 10f9058d822b7124000bf24a354fe1e0,709336.4243,4366770.925,39.425068,-114.568014, 11S,2802.248291,5,8, Foreset ,159,45,249,11.654, Will-glom, Sat Oct 22 16:29:22 2022,,252.2
11427bae3a42e0e34fc32798846c3dde, Locality 2, 01cf749de2b453073222fbc3e850c51a,709355.4384,4366787.201,39.42521,-114.567788, 11S,2789.267578,10,12, Foreset ,151,32,241,11.654, Will-glom, Sat Oct 22 16:25:54 2022,,63.9
11427bae3a42e0e34fc32798846c3dde, Locality 2, 9c0c39c25b849b8c9f6edb153d084de9,709379.5059,4366795.224,39.425276,-114.567506, 11S,2779.206787,10,6, Foreset ,154,41,244,11.654, Will-qtz c, Sat Oct 22 16:22:40 2022,,248
11427bae3a42e0e34fc32798846c3dde, Locality 2, dc41022d0227cfc00ab08436e8d44560,709398.7876,4366804.524,39.425355,-114.567279, 11S,2772.820312,10,8, Foreset ,184,36,274,11.654, Will-qtz c, Sat Oct 22 15:57:02 2022,,91.3
11427bae3a42e0e34fc32798846c3dde, Locality 2, 4d2850e208055372b3b364e6b1c51e5d,709404.2757,4366810.668,39.425409,-114.567214, 11S,2782.415771,10,24, Foreset ,182,46,272,11.654, Eg-arkose sst, Sat Oct 22 15:56:33 2022,,268.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, 5a4a00e0ab922c189a18ee22cf487ec7,709428.4551,4366811.6,39.425412,-114.566933, 11S,2763.99585,10,16, Foreset ,184,35,274,11.654, Eg-Slaty saltire, Sat Oct 22 15:53:50 2022,,91.5
11427bae3a42e0e34fc32798846c3dde, Locality 2, fb4fa4cf958f4d7ae99426261f8647ca,709429.2208,4366798.209,39.425291,-114.566928, 11S,2755.111572,5,4, Foreset ,144,26,234,11.654, Eg-Slaty saltire, Sat Oct 22 15:54:20 2022,,56.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, 3b5f6f11e50617205d7d812974add9c5,709507.445,4366818.536,39.425455,-114.566014, 11S,2750.444092,5,6, Foreset ,191,38,281,11.654, Eg-Slaty saltire, Sat Oct 22 15:50:39 2022,,96.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, ce2a067301b7c743a69e01e1d8df90b9,709520.9221,4366813.882,39.42541,-114.565859, 11S,2743.432373,5,6, Foreset ,187,47,277,11.654, Eg-Slaty saltire, Sat Oct 22 15:50:01 2022,,271.6
11427bae3a42e0e34fc32798846c3dde, Locality 2, 6f4d437ceb0a013503426f747899a565,709546.8502,4366846.857,39.4257,-114.565547, 11S,2745.989014,5,6, Foreset ,165,27,255,11.654, Eg-Slaty saltire, Sat Oct 22 15:48:47 2022,,75.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, 9f8826d5e570881b75619ba1246ea2e8,709654.2721,4366936.254,39.426479,-114.564272, 11S,2766.042969,5,3, Foreset ,192,32,282,11.654, Eg-arkose sst, Sat Oct 22 15:42:18 2022,,98.6
11427bae3a42e0e34fc32798846c3dde, Locality 2, 78261085e77c874d99446ba2112fab34,709659.8237,4366938.969,39.426502,-114.564207, 11S,2764.270996,5,3, Foreset ,164,65,254,11.654, Eg-arkose sst, Sat Oct 22 15:41:47 2022,,257.2
11427bae3a42e0e34fc32798846c3dde, Locality 2, b21ef32dbdd22f53a7523b446441a0f1,709706.4037,4366937.15,39.426474,-114.563667, 11S,2752.558105,5,8, Foreset ,184,42,274,11.654, Eg-arkose sst, Sat Oct 22 15:38:15 2022,,270.4
