field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,dip_dir,field_16,field_17,Formation,field_19,corr_dir,Loc_Strike,Loc_Dip
11427bae3a42e0e34fc32798846c3dde,Locality 2,47294911aae74b55247dd516e48b8b06,714591.7138,4355772.113,39.324762,-114.510534,11S,1953.678955,5,4,Foreset,174,33,264,11.654,Taft creekcrew,Taft,,264.5,209,27
11427bae3a42e0e34fc32798846c3dde,Locality 2,c44fcd4b9f8efe2079d47e03571baf72,714982.5045,4355032.822,39.318009,-114.506241,11S,1990.608398,5,6,Foreset,152,29,242,11.654,Taft creekcrew,Taft,,245,162,20
11427bae3a42e0e34fc32798846c3dde,Locality 2,b51745ec26c89c857c81faf481e42389,714983.8619,4355033.167,39.318012,-114.506226,11S,1992.323486,5,4,Foreset,158,50,248,11.654,Taft creekcrew,Taft,,253.1,162,20
11427bae3a42e0e34fc32798846c3dde,Locality 2,a3d3ad6d195122bb98a6c0202f957cc9,714983.8012,4355035.628,39.318034,-114.506225,11S,1991.699707,5,6,Foreset,164,49,254,11.654,Taft creekcrew,Taft,,257.5,162,20
11427bae3a42e0e34fc32798846c3dde,Locality 2,3fa47d3789a3a5e6bdde2216e2dd55bd,714984.2275,4355030.924,39.317992,-114.506222,11S,1992.883545,5,6,Foreset,136,22,226,11.654,Taft creekcrew,Taft,,229.3,162,20
11427bae3a42e0e34fc32798846c3dde,Locality 2,c2b4d0e6480dce4a688d34140706dbf1,714985.0935,4355030.208,39.317985,-114.506212,11S,1992.027832,5,6,Foreset,172,46,262,11.654,Taft creekcrew,Taft,,263.3,162,20
11427bae3a42e0e34fc32798846c3dde,Locality 2,d39c4ae1fd2bdee2c720a9430228f1f9,715088.5111,4351372.073,39.285028,-114.506183,11S,1968.852783,5,6,Foreset,163,37,253,11.654,Taft creekcrew,Taft,,255.4,201,22
11427bae3a42e0e34fc32798846c3dde,Locality 2,4fe7c706929c8a6f0573149c666518ae,715106.7126,4351370.364,39.285008,-114.505973,11S,1942.911377,10,24,Foreset,171,39,261,11.654,Taft creekcrew,Taft,,262.2,201,22
11427bae3a42e0e34fc32798846c3dde,Locality 2,9e8d2de04408af024f59152d1f3eb96e,715108.5849,4351370.69,39.28501,-114.505951,11S,1948.989014,5,12,Foreset,172,29,262,11.654,Taft creekcrew,Taft,,262.7,201,22
11427bae3a42e0e34fc32798846c3dde,Locality 2,d852cacbb0ed12f835d8da96b1e4ed3b,715108.5849,4351370.69,39.28501,-114.505951,11S,1948.989014,5,12,Foreset,212,22,302,11.654,Taft creekcrew,Taft,,299.4,201,22
11427bae3a42e0e34fc32798846c3dde,Locality 2,71a54371fe8104a3fd5302c329db9116,715008.0592,4355019.173,39.31788,-114.50595,11S,1965.914551,0,0,Foreset,177,45,267,11.654,Taft creek qtzt 2,Taft,,267.2,189,24
11427bae3a42e0e34fc32798846c3dde,Locality 2,1db024176db3803afd8ee1cc4f8c5036,715058.1159,4355064.345,39.318274,-114.505355,11S,1960.40332,10,24,Foreset,166,54,256,11.654,Taft creekcrew,Taft,,259.4,175,21
11427bae3a42e0e34fc32798846c3dde,Locality 2,4477ab5027ad7df9cd8b646cc1932299,715105.6881,4355111.031,39.318683,-114.504789,11S,1936.112793,5,4,Foreset,174,54,264,11.654,Taft creekcrew,Taft,,265.1,159,35
11427bae3a42e0e34fc32798846c3dde,Locality 2,ebfbd58ee3198f383a32219b9ae98478,715113.8415,4355121.149,39.318772,-114.504691,11S,1904.161621,5,12,Foreset,161,35,251,11.654,Taft creekcrew,Taft,,253.6,159,35
11427bae3a42e0e34fc32798846c3dde,Locality 2,bb34894a784d29a429336a1a0235ecf6,715191.4691,4355279.398,39.320177,-114.503741,11S,1851.991943,10,16,Foreset,173,58,263,11.654,Taft creek qtzt 2,Taft,,264.6,168,39
11427bae3a42e0e34fc32798846c3dde,Locality 2,a142264a6e4a1ab385385b5c3d1784f9,715191.4691,4355279.398,39.320177,-114.503741,11S,1851.991943,10,16,Foreset,198,42,288,11.654,Taft creek qtzt 2,Taft,,284,168,39
11427bae3a42e0e34fc32798846c3dde,Locality 2,7ec4cc8bf6b6fcd60d2fdebbccbb6f73,715192.8491,4355281.541,39.320196,-114.503724,11S,1850.313721,5,6,Foreset,157,54,247,11.654,Taft creek qtzt 2,Taft,,253.1,168,39
11427bae3a42e0e34fc32798846c3dde,Locality 2,5511d0bf5a98f27e3b623546b2ac897a,715219.7355,4355490.772,39.322073,-114.503345,11S,1841.162598,5,3,Foreset,159,30,249,11.654,Taft creek carb,Taft,,251.3,175,18
