field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,dip_dir,field_16,field_17,field_18,field_19,corr_dir,Loc_Strike,Loc_Dip
11427bae3a42e0e34fc32798846c3dde,Locality 2,bf6ff871e5bc6c5685f24dd6bb0e776a,713939.9575,4351065.396,39.282551,-114.519586,11S,2322.380615,10,12,Foreset,169,53.00,259.00,11.654,Hues-Argillite-brown,Bassett,,261.5,164,32
11427bae3a42e0e34fc32798846c3dde,Locality 2,378b471f089aa962c3299004a0f39a2c,710243.8563,4366973.972,39.426675,-114.557417,11S,2644.157715,5,8,Foreset,203,47.00,293.00,11.654,Cocomongo,Cocomongo,,287.1,210,34
11427bae3a42e0e34fc32798846c3dde,Locality 2,99f7eb36ecd2284a294fd9236097fed2,710334.9144,4366894.715,39.425939,-114.556385,11S,2585.179443,5,12,Foreset,215,52.00,305.00,11.654,Cocomongo,Cocomongo,,294.8,200,17
11427bae3a42e0e34fc32798846c3dde,Locality 2,ca917f02b06b45d7a4b9353efd5a2ba1,711434.9459,4358490.6,39.350012,-114.546268,11S,2681.463135,5,4,Foreset,157,62.00,247.00,11.654,Cocomongo,Cocomongo,,254.7,176,20
11427bae3a42e0e34fc32798846c3dde,Locality 2,189d64e4fbfcf23253dcb03f1f9a645a,711532.6665,4358329.906,39.348542,-114.545186,11S,2595.931396,5,4,Foreset,181,34.00,271.00,11.654,Cocomongo,Cocomongo,,270.5,196,22
11427bae3a42e0e34fc32798846c3dde,Locality 2,2967fc8aaf77317bdd66a07855b0b4c5,711535.9757,4358334.223,39.34858,-114.545146,11S,2600.812744,10,24,Foreset,174,25.00,264.00,11.654,Cocomongo,Cocomongo,,264.3,196,22
11427bae3a42e0e34fc32798846c3dde,Locality 2,abed2875e0c3fa540876f1caddce3cca,711549.6762,4358331.234,39.348549,-114.544988,11S,2591.036377,5,8,Foreset,203,29.00,293.00,11.654,Cocomongo,Cocomongo,,290.1,196,22
11427bae3a42e0e34fc32798846c3dde,Locality 2,351e221ec5ab19857e1ef81aafcf73cf,711590.2293,4358315.862,39.348401,-114.544523,11S,2571.324463,5,8,Foreset,159,36.00,249.00,11.654,Cocomongo,Cocomongo,,252,196,22
11427bae3a42e0e34fc32798846c3dde,Locality 2,4d2850e208055372b3b364e6b1c51e5d,709404.2757,4366810.668,39.425409,-114.567214,11S,2782.415771,10,24,Foreset,182,46.00,272.00,11.654,Eg-arkose sst,Egan,,271.1,184,32
11427bae3a42e0e34fc32798846c3dde,Locality 2,5a4a00e0ab922c189a18ee22cf487ec7,709428.4551,4366811.6,39.425412,-114.566933,11S,2763.99585,10,16,Foreset,184,35.00,274.00,11.654,Eg-Slaty saltire,Egan,,273.1,154,26
